Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",0.0,0.0,1,1,2020-05-04
Blinding Lights,The Weeknd,-1.0,1.0,1,22,2020-05-04
Toosie Slide,Drake,-1.0,2.0,1,4,2020-05-04
Savage,Megan Thee Stallion Featuring Beyonce,10.0,14.0,4,7,2020-05-04
The Box,Roddy Ricch,-2.0,3.0,1,21,2020-05-04
Say So,Doja Cat Featuring Nicki Minaj,-1.0,5.0,5,17,2020-05-04
Don't Start Now,Dua Lipa,-3.0,4.0,2,26,2020-05-04
Circles,Post Malone,-2.0,6.0,1,35,2020-05-04
Intentions,Justin Bieber Featuring Quavo,-1.0,8.0,8,12,2020-05-04
Adore You,Harry Styles,-3.0,7.0,6,21,2020-05-04
Righteous,Juice WRLD,0.0,0.0,11,1,2020-05-04
Life Is Good,Future Featuring Drake,-2.0,10.0,2,16,2020-05-04
My Oh My,Camila Cabello Featuring DaBaby,-1.0,12.0,12,21,2020-05-04
Rockstar,DaBaby Featuring Roddy Ricch,-5.0,9.0,9,2,2020-05-04
The Bones,Maren Morris,-2.0,13.0,12,32,2020-05-04
Everything I Wanted,Billie Eilish,-5.0,11.0,8,25,2020-05-04
Someone You Loved,Lewis Capaldi,-2.0,15.0,1,51,2020-05-04
Nobody But You,Blake Shelton Duet With Gwen Stefani,2.0,20.0,18,16,2020-05-04
I Hope,Gabby Barrett,-3.0,16.0,16,18,2020-05-04
Blueberry Faygo,Lil Mosey,-1.0,19.0,16,12,2020-05-04
Memories,Maroon 5,-3.0,18.0,2,32,2020-05-04
Chasin' You,Morgan Wallen,-1.0,21.0,21,14,2020-05-04
Roses (Imanbek Remix),SAINt JHN,-1.0,22.0,22,6,2020-05-04
Falling,Trevor Daniel,-1.0,23.0,22,24,2020-05-04
High Fashion,Roddy Ricch Featuring Mustard,0.0,25.0,20,18,2020-05-04
Death Bed,Powfu Featuring beabadoobee,1.0,27.0,26,7,2020-05-04
Hot Girl Bummer,blackbear,-3.0,24.0,11,33,2020-05-04
Sunday Best,Surfaces,10.0,38.0,28,9,2020-05-04
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,5.0,34.0,26,23,2020-05-04
Does To Me,Luke Combs Featuring Eric Church,10.0,40.0,30,7,2020-05-04
Heart On Ice,Rod Wave,-2.0,29.0,25,25,2020-05-04
Ballin',Mustard & Roddy Ricch,0.0,32.0,11,41,2020-05-04
Roxanne,Arizona Zervas,-7.0,26.0,4,26,2020-05-04
Dance Monkey,Tones And I,-3.0,31.0,4,30,2020-05-04
Whats Poppin,Jack Harlow,2.0,37.0,35,12,2020-05-04
Break My Heart,Dua Lipa,3.0,39.0,21,5,2020-05-04
Heartless,The Weeknd,-9.0,28.0,1,23,2020-05-04
HIGHEST IN THE ROOM,Travis Scott,0.0,0.0,1,22,2020-05-04
I Hope You're Happy Now,Carly Pearce & Lee Brice,8.0,47.0,39,17,2020-05-04
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,11.0,51.0,40,7,2020-05-04
Level Of Concern,twenty one pilots,4.0,45.0,23,3,2020-05-04
I Love Me,Demi Lovato,0.0,42.0,18,8,2020-05-04
More Hearts Than Mine,Ingrid Andress,-13.0,30.0,30,18,2020-05-04
After A Few,Travis Denning,12.0,56.0,44,5,2020-05-04
All In,Lil Baby,0.0,0.0,45,1,2020-05-04
"10,000 Hours",Dan + Shay & Justin Bieber,-5.0,41.0,4,30,2020-05-04
Hard To Forget,Sam Hunt,2.0,49.0,40,5,2020-05-04
Supalonely,BENEE Featuring Gus Dapperton,11.0,59.0,48,7,2020-05-04
Goosebumps,Travis Scott,0.0,0.0,32,35,2020-05-04
Before You Go,Lewis Capaldi,7.0,57.0,50,13,2020-05-04
In Your Eyes,The Weeknd,4.0,55.0,16,6,2020-05-04
Dior,Pop Smoke,2.0,54.0,30,11,2020-05-04
Sum 2 Prove,Lil Baby,7.0,60.0,16,16,2020-05-04
Slide,H.E.R. Featuring YG,4.0,58.0,43,19,2020-05-04
Catch,Brett Young,-3.0,52.0,29,14,2020-05-04
Walk Em Down,NLE Choppa Featuring Roddy Ricch,9.0,65.0,56,6,2020-05-04
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,10.0,67.0,57,14,2020-05-04
Jump,DaBaby Featuring YoungBoy Never Broke Again,-41.0,17.0,17,2,2020-05-04
If The World Was Ending,JP Saxe Featuring Julia Michaels,18.0,77.0,59,5,2020-05-04
Out West,JACKBOYS Featuring Young Thug,12.0,72.0,38,16,2020-05-04
Stupid Love,Lady Gaga,-15.0,46.0,5,9,2020-05-04
Yo Perreo Sola,Bad Bunny,6.0,68.0,53,7,2020-05-04
I'm Ready,Sam Smith & Demi Lovato,-27.0,36.0,36,2,2020-05-04
P*$$y Fairy (OTW),Jhene Aiko,12.0,76.0,40,15,2020-05-04
Sasuke,Lil Uzi Vert,0.0,0.0,65,1,2020-05-04
Godzilla,Eminem Featuring Juice WRLD,0.0,66.0,3,15,2020-05-04
Find My Way,DaBaby,-34.0,33.0,22,4,2020-05-04
Cool Again,Kane Brown,0.0,0.0,68,1,2020-05-04
Believe It,PARTYNEXTDOOR & Rihanna,6.0,75.0,23,5,2020-05-04
Bluebird,Miranda Lambert,12.0,82.0,70,4,2020-05-04
Emotionally Scarred,Lil Baby,13.0,84.0,31,9,2020-05-04
You Should Be Sad,Halsey,8.0,80.0,26,16,2020-05-04
Here And Now,Kenny Chesney,14.0,87.0,73,4,2020-05-04
Turks,"NAV, Gunna & Travis Scott",4.0,78.0,17,5,2020-05-04
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",8.0,83.0,71,4,2020-05-04
Slow Dance In A Parking Lot,Jordan Davis,-3.0,73.0,37,17,2020-05-04
Come Thru,Summer Walker & Usher,2.0,79.0,42,18,2020-05-04
After Party,Don Toliver,14.0,92.0,78,2,2020-05-04
Homemade,Jake Owen,2.0,81.0,39,14,2020-05-04
Ride It.,Regard,15.0,95.0,80,3,2020-05-04
God Whispered Your Name,Keith Urban,16.0,97.0,81,2,2020-05-04
In Between,Scotty McCreery,7.0,89.0,82,3,2020-05-04
Ain't Easy,YoungBoy Never Broke Again,0.0,0.0,83,1,2020-05-04
Party Girl,StaySolidRocky,0.0,0.0,84,1,2020-05-04
Die From A Broken Heart,Maddie & Tae,9.0,94.0,80,3,2020-05-04
Diamonds,YoungBoy Never Broke Again,0.0,0.0,86,1,2020-05-04
Myron,Lil Uzi Vert,1.0,88.0,13,7,2020-05-04
July,Noah Cyrus & Leon Bridges,5.0,93.0,85,9,2020-05-04
Captain Hook,Megan Thee Stallion,7.0,96.0,74,4,2020-05-04
Bout My Business,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,0.0,0.0,90,1,2020-05-04
That Way,Lil Uzi Vert,0.0,91.0,20,9,2020-05-04
Rough Ryder,YoungBoy Never Broke Again,0.0,0.0,92,1,2020-05-04
B.S.,Jhene Aiko Featuring H.E.R.,0.0,0.0,24,6,2020-05-04
Underdog,Alicia Keys,0.0,0.0,69,5,2020-05-04
I Love My Country,Florida Georgia Line,0.0,0.0,81,2,2020-05-04
NASTY,DaBaby Featuring Ashanti & Megan Thee Stallion,-46.0,50.0,50,2,2020-05-04
Drinking Alone,Carrie Underwood,0.0,0.0,97,1,2020-05-04
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",0.0,98.0,38,5,2020-05-04
Thug Of Spades,YoungBoy Never Broke Again Featuring DaBaby,0.0,0.0,99,1,2020-05-04
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",-1.0,99.0,81,7,2020-05-04
